flight_id,flight_date,tail_number,route_id,origin,dest,sched_dep_utc,actual_dep_utc,sched_arr_utc,actual_arr_utc,dep_delay_min,arr_delay_min,delay_code,cancelled,diverted,passengers,cargo_kg,block_min,air_min
MR3759,2025-05-25,VT-PH70,1109,COK,GOI,2025-05-25T02:00:00Z,2025-05-25T02:04:00Z,2025-05-25T03:32:00Z,2025-05-25T03:39:00Z,4,5,,0,0,147,738.3,95,78
MR3760,2025-05-25,VT-PH70,1072,GOI,HYD,2025-05-25T04:48:00Z,2025-05-25T05:31:00Z,2025-05-25T06:13:00Z,2025-05-25T07:15:00Z,43,37,73,0,0,143,1786.3,104,77
MR3761,2025-05-25,VT-PH70,1060,HYD,COK,2025-05-25T08:02:00Z,2025-05-25T08:02:00Z,2025-05-25T09:46:00Z,2025-05-25T09:55:00Z,0,2,,0,0,170,1734.0,113,90
MR3762,2025-05-25,VT-EI46,1042,MAA,LKO,2025-05-25T03:45:00Z,2025-05-25T03:49:00Z,2025-05-25T06:20:00Z,2025-05-25T06:23:00Z,4,11,,0,0,140,639.5,154,141
MR3763,2025-05-25,VT-EI46,1003,LKO,HYD,2025-05-25T06:57:00Z,2025-05-25T07:10:00Z,2025-05-25T09:01:00Z,2025-05-25T09:09:00Z,13,12,,0,0,113,1473.7,119,106
MR3764,2025-05-25,VT-EI46,1112,HYD,DEL,2025-05-25T10:03:00Z,2025-05-25T10:03:00Z,2025-05-25T12:19:00Z,2025-05-25T12:16:00Z,0,10,,0,0,157,763.2,133,123
MR3765,2025-05-25,VT-EI46,1111,DEL,PNQ,2025-05-25T13:20:00Z,2025-05-25T13:20:00Z,2025-05-25T15:29:00Z,2025-05-25T15:41:00Z,0,-1,,0,0,149,2135.4,141,115
MR3766,2025-05-25,VT-EI46,1063,PNQ,BOM,2025-05-25T16:13:00Z,2025-05-25T16:13:00Z,2025-05-25T17:08:00Z,2025-05-25T17:14:00Z,0,-2,,0,0,162,2498.5,61,42
MR3767,2025-05-25,VT-XK17,1116,DEL,CCU,2025-05-25T03:30:00Z,2025-05-25T03:35:00Z,2025-05-25T05:57:00Z,2025-05-25T06:03:00Z,5,9,,0,0,92,221.3,148,131
MR3768,2025-05-25,VT-XK17,1089,CCU,DEL,2025-05-25T07:10:00Z,2025-05-25T07:10:00Z,2025-05-25T09:37:00Z,2025-05-25T09:29:00Z,0,11,,0,0,112,2349.2,139,129
MR3769,2025-05-25,VT-XK17,1064,DEL,GOI,2025-05-25T10:18:00Z,2025-05-25T10:18:00Z,2025-05-25T12:52:00Z,2025-05-25T13:10:00Z,0,-4,,0,0,106,1733.7,172,146
MR3770,2025-05-25,VT-XK17,1044,GOI,JAI,2025-05-25T14:06:00Z,2025-05-25T16:53:00Z,2025-05-25T16:24:00Z,2025-05-25T19:04:00Z,167,178,93,0,0,104,1680.3,131,120
MR3771,2025-05-25,VT-WK37,1032,JAI,HYD,2025-05-25T02:30:00Z,2025-05-25T02:40:00Z,2025-05-25T04:35:00Z,2025-05-25T05:00:00Z,10,5,,0,0,158,341.8,140,116
MR3772,2025-05-25,VT-WK37,1108,HYD,LKO,2025-05-25T05:47:00Z,2025-05-25T05:47:00Z,2025-05-25T07:51:00Z,2025-05-25T07:58:00Z,0,-8,,0,0,150,824.4,131,114
MR3773,2025-05-25,VT-WK37,1027,LKO,JAI,2025-05-25T08:59:00Z,2025-05-25T08:59:00Z,2025-05-25T10:25:00Z,2025-05-25T10:35:00Z,0,2,,0,0,183,2142.9,96,75
MR3774,2025-05-25,VT-WK37,1038,JAI,DEL,2025-05-25T11:06:00Z,2025-05-25T11:19:00Z,2025-05-25T12:08:00Z,2025-05-25T12:18:00Z,13,10,,0,0,120,2389.3,59,49
MR3775,2025-05-25,VT-SR28,1108,HYD,LKO,2025-05-25T03:00:00Z,2025-05-25T03:34:00Z,2025-05-25T05:04:00Z,2025-05-25T05:38:00Z,34,44,93,0,0,79,783.2,124,109
MR3776,2025-05-25,VT-SR28,1001,LKO,BOM,2025-05-25T06:34:00Z,2025-05-25T08:34:00Z,2025-05-25T08:48:00Z,2025-05-25T10:59:00Z,120,129,51,0,0,92,1852.9,145,117
MR3777,2025-05-25,VT-HI60,1039,AMD,LKO,2025-05-25T02:15:00Z,2025-05-25T05:07:00Z,2025-05-25T04:12:00Z,2025-05-25T07:15:00Z,172,181,51,0,0,93,599.4,128,107
MR3778,2025-05-25,VT-HI60,1061,LKO,PNQ,2025-05-25T07:57:00Z,2025-05-25T07:57:00Z,2025-05-25T10:08:00Z,2025-05-25T10:22:00Z,0,12,,0,0,84,427.7,145,122
MR3779,2025-05-25,VT-HI60,1076,PNQ,GOI,2025-05-25T11:11:00Z,2025-05-25T11:39:00Z,2025-05-25T12:22:00Z,2025-05-25T12:56:00Z,28,30,81,0,0,101,1295.3,77,58
MR3780,2025-05-25,VT-RO27,1031,AMD,CCU,2025-05-25T01:00:00Z,2025-05-25T01:19:00Z,2025-05-25T03:52:00Z,2025-05-25T04:11:00Z,19,30,11,0,0,152,1133.2,172,157
MR3781,2025-05-25,VT-RO27,1036,CCU,COK,2025-05-25T04:42:00Z,2025-05-25T04:42:00Z,2025-05-25T07:46:00Z,2025-05-25T07:57:00Z,0,-5,,0,0,144,202.8,195,171
MR3782,2025-05-25,VT-RO27,1000,COK,JAI,2025-05-25T08:51:00Z,2025-05-25T10:49:00Z,2025-05-25T11:50:00Z,2025-05-25T14:03:00Z,118,117,73,0,0,119,1511.5,194,169
MR3783,2025-05-25,VT-RO27,1093,JAI,AMD,2025-05-25T15:06:00Z,2025-05-25T15:06:00Z,2025-05-25T16:30:00Z,2025-05-25T16:33:00Z,0,6,,0,0,130,1394.7,87,71
MR3784,2025-05-25,VT-RO27,1114,AMD,BLR,2025-05-25T17:12:00Z,2025-05-25T19:12:00Z,2025-05-25T19:26:00Z,2025-05-25T21:33:00Z,120,113,81,0,0,151,1559.9,141,117
MR3785,2025-05-25,VT-RW64,1036,CCU,COK,2025-05-25T02:45:00Z,2025-05-25T02:54:00Z,2025-05-25T05:49:00Z,2025-05-25T06:05:00Z,9,8,,0,0,49,1499.6,191,174
MR3786,2025-05-25,VT-RW64,1081,COK,DEL,2025-05-25T07:01:00Z,2025-05-25T07:45:00Z,2025-05-25T10:14:00Z,2025-05-25T11:10:00Z,44,36,71,0,0,54,259.4,205,179
MR3787,2025-05-25,VT-RW64,1064,DEL,GOI,2025-05-25T11:53:00Z,2025-05-25T11:53:00Z,2025-05-25T14:27:00Z,2025-05-25T14:36:00Z,0,0,,0,0,65,201.9,163,140
MR3788,2025-05-25,VT-RW64,1005,GOI,BOM,2025-05-25T15:24:00Z,2025-05-25T16:44:00Z,2025-05-25T16:40:00Z,2025-05-25T18:06:00Z,80,76,81,0,0,60,2080.1,82,60
MR3789,2025-05-25,VT-RW64,1028,BOM,CCU,2025-05-25T18:49:00Z,2025-05-25T18:52:00Z,2025-05-25T21:42:00Z,2025-05-25T21:55:00Z,3,0,,0,0,55,614.5,183,155
MR3790,2025-05-25,VT-PG61,1030,JAI,CCU,2025-05-25T01:00:00Z,2025-05-25T01:00:00Z,2025-05-25T03:32:00Z,2025-05-25T03:41:00Z,0,-6,,0,0,52,1129.7,161,137
MR3791,2025-05-25,VT-PG61,1012,CCU,JAI,2025-05-25T04:23:00Z,2025-05-25T04:30:00Z,2025-05-25T06:55:00Z,2025-05-25T07:19:00Z,7,-1,,0,0,41,1262.9,169,144
MR3792,2025-05-25,VT-PG61,1113,JAI,BOM,2025-05-25T07:49:00Z,2025-05-25T07:50:00Z,2025-05-25T09:40:00Z,2025-05-25T09:55:00Z,1,-6,,0,0,44,1856.4,125,103
MR3793,2025-05-25,VT-DJ65,1048,JAI,LKO,2025-05-25T02:15:00Z,2025-05-25T02:26:00Z,2025-05-25T03:41:00Z,2025-05-25T04:00:00Z,11,17,,0,0,71,1324.1,94,78
MR3794,2025-05-25,VT-DJ65,1020,LKO,CCU,2025-05-25T04:53:00Z,2025-05-25T04:53:00Z,2025-05-25T06:47:00Z,2025-05-25T06:41:00Z,0,-3,,0,0,95,2441.7,108,96
MR3795,2025-05-25,VT-DJ65,1089,CCU,DEL,2025-05-25T07:14:00Z,2025-05-25T07:14:00Z,2025-05-25T09:41:00Z,2025-05-25T09:52:00Z,0,-3,,0,0,65,2062.5,158,137
MR3796,2025-05-25,VT-DJ65,1051,DEL,BLR,2025-05-25T10:46:00Z,2025-05-25T10:50:00Z,2025-05-25T13:34:00Z,2025-05-25T13:35:00Z,4,6,,0,0,96,1304.1,165,153
MR3797,2025-05-25,VT-AT51,1009,BLR,JAI,2025-05-25T01:45:00Z,2025-05-25T02:00:00Z,2025-05-25T04:20:00Z,2025-05-25T04:46:00Z,15,25,,0,1,159,685.8,166,147
MR3798,2025-05-25,VT-AT51,1050,JAI,MAA,2025-05-25T05:42:00Z,2025-05-25T05:51:00Z,2025-05-25T08:23:00Z,2025-05-25T08:39:00Z,9,8,,0,0,174,1658.1,168,144
MR3799,2025-05-25,VT-AT51,1101,MAA,JAI,2025-05-25T09:13:00Z,2025-05-25T10:58:00Z,2025-05-25T11:54:00Z,2025-05-25T13:43:00Z,105,104,41,0,0,146,2336.7,165,147
MR3800,2025-05-25,VT-AT51,1038,JAI,DEL,2025-05-25T14:31:00Z,2025-05-25T14:43:00Z,2025-05-25T15:33:00Z,2025-05-25T16:00:00Z,12,7,,0,0,128,1007.7,77,52
MR3801,2025-05-25,VT-DB93,1008,BOM,LKO,2025-05-25T02:45:00Z,2025-05-25T04:16:00Z,2025-05-25T04:59:00Z,2025-05-25T06:34:00Z,91,96,51,0,0,161,1008.7,138,118
MR3802,2025-05-25,VT-DB93,1075,LKO,DEL,2025-05-25T07:22:00Z,2025-05-25T07:22:00Z,2025-05-25T08:41:00Z,2025-05-25T08:42:00Z,0,9,,0,0,170,1580.8,80,64
MR3803,2025-05-25,VT-DB93,1074,DEL,LKO,2025-05-25T09:26:00Z,2025-05-25T10:59:00Z,2025-05-25T10:45:00Z,2025-05-25T12:15:00Z,93,94,73,0,0,121,1193.3,76,66
MR3804,2025-05-25,VT-DB93,1003,LKO,HYD,2025-05-25T13:10:00Z,2025-05-25T13:59:00Z,2025-05-25T15:14:00Z,2025-05-25T16:11:00Z,49,42,61,0,0,115,1288.5,132,110
MR3805,2025-05-25,VT-WC15,1036,CCU,COK,2025-05-25T02:15:00Z,2025-05-25T02:58:00Z,2025-05-25T05:19:00Z,2025-05-25T06:05:00Z,43,43,51,0,0,116,1474.1,187,176
MR3806,2025-05-25,VT-WC15,1029,COK,HYD,2025-05-25T06:39:00Z,2025-05-25T08:47:00Z,2025-05-25T08:23:00Z,2025-05-25T10:31:00Z,128,138,61,0,0,151,2113.6,104,86
MR3807,2025-05-25,VT-RI84,1012,CCU,JAI,2025-05-25T01:15:00Z,2025-05-25T01:15:00Z,2025-05-25T03:47:00Z,2025-05-25T04:01:00Z,0,0,,0,0,147,716.0,166,143
MR3808,2025-05-25,VT-RI84,1038,JAI,DEL,2025-05-25T04:51:00Z,2025-05-25T04:58:00Z,2025-05-25T05:53:00Z,2025-05-25T06:04:00Z,7,16,,0,0,112,405.2,66,50
MR3809,2025-05-25,VT-RI84,1051,DEL,BLR,2025-05-25T07:03:00Z,,2025-05-25T09:51:00Z,,,,73,1,0,0,0.0,,
MR3810,2025-05-25,VT-RI84,1025,BLR,PNQ,2025-05-25T11:41:00Z,2025-05-25T11:54:00Z,2025-05-25T13:19:00Z,2025-05-25T13:32:00Z,13,24,,0,0,168,1975.1,98,80
MR3811,2025-05-25,VT-RI84,1022,PNQ,HYD,2025-05-25T14:05:00Z,2025-05-25T15:07:00Z,2025-05-25T15:28:00Z,2025-05-25T16:40:00Z,62,62,41,0,0,125,2355.8,93,75
MR3812,2025-05-25,VT-CU64,1040,MAA,COK,2025-05-25T02:45:00Z,2025-05-25T02:45:00Z,2025-05-25T04:08:00Z,2025-05-25T04:06:00Z,0,-2,,0,0,90,253.6,81,68
MR3813,2025-05-25,VT-CU64,1019,COK,CCU,2025-05-25T05:06:00Z,2025-05-25T05:20:00Z,2025-05-25T08:10:00Z,2025-05-25T08:31:00Z,14,9,,0,0,104,1309.9,191,173
MR3814,2025-05-25,VT-CU64,1036,CCU,COK,2025-05-25T09:22:00Z,2025-05-25T09:22:00Z,2025-05-25T12:26:00Z,2025-05-25T12:24:00Z,0,5,,0,0,82,2349.1,182,171
MR3815,2025-05-25,VT-CU64,1068,COK,PNQ,2025-05-25T13:31:00Z,2025-05-25T13:31:00Z,2025-05-25T15:26:00Z,2025-05-25T15:35:00Z,0,11,,0,0,83,1081.1,124,100
MR3816,2025-05-25,VT-YK23,1022,PNQ,HYD,2025-05-25T03:00:00Z,2025-05-25T03:00:00Z,2025-05-25T04:23:00Z,2025-05-25T04:39:00Z,0,2,,0,0,108,357.6,99,71
MR3817,2025-05-25,VT-YK23,1118,HYD,CCU,2025-05-25T05:23:00Z,2025-05-25T05:26:00Z,2025-05-25T07:39:00Z,2025-05-25T07:38:00Z,3,10,,0,0,113,1574.8,132,119
MR3818,2025-05-25,VT-LG97,1037,PNQ,DEL,2025-05-25T03:15:00Z,2025-05-25T05:22:00Z,2025-05-25T05:24:00Z,2025-05-25T07:34:00Z,127,134,51,0,0,138,1553.3,132,115
MR3819,2025-05-25,VT-LG97,1111,DEL,PNQ,2025-05-25T08:28:00Z,2025-05-25T08:48:00Z,2025-05-25T10:37:00Z,2025-05-25T10:50:00Z,20,15,81,0,0,103,523.2,122,111
MR3820,2025-05-25,VT-LG97,1065,PNQ,AMD,2025-05-25T11:32:00Z,2025-05-25T11:32:00Z,2025-05-25T12:55:00Z,2025-05-25T12:50:00Z,0,-6,,0,0,116,2098.9,78,66
MR3821,2025-05-25,VT-LG97,1114,AMD,BLR,2025/13/01 99:61,,2025-05-25T16:09:00Z,,,,36,1,0,0,0.0,,
MR3822,2025-05-25,VT-CQ40,1030,JAI,CCU,2025-05-25T02:45:00Z,2025-05-25T02:45:00Z,2025-05-25T05:17:00Z,2025-05-25T05:25:00Z,0,4,,0,0,77,1894.0,160,135
