crew_roster_id,flight_id,aircraft_id,crew_id,crew_role,duty_start_time,duty_end_time,base_airport,duty_status
CR0000001,FL0000965,AC00038,CREW1198,Captain,2026-05-16 15:18:50,2026-05-16 17:17:50,IST,Completed
CR0000002,FL0001259,AC00068,CREW1366,Cabin Manager,2026-05-19 00:47:49,2026-05-19 09:51:49,GOI,Assigned
CR0000003,FL0001393,AC00043,CREW1510,Maintenance Observer,2026-03-17 08:50:44,2026-03-17 10:58:44,GOI,Completed
CR0000004,FL0001870,AC00016,CREW1076,Captain,2026-05-29 09:22:59,2026-05-29 18:07:59,AMD,Completed
CR0000005,FL0000738,AC00009,CREW1064,Cabin Manager,2026-02-13 05:23:16,2026-02-13 08:50:16,NRT,Completed
CR0000006,FL0001049,AC00016,CREW1765,Maintenance Observer,2026-01-12 23:00:23,2026-01-13 08:40:23,YYZ,Completed
CR0000007,FL0000671,AC00022,CREW1563,Cabin Crew,2026-02-22 15:01:26,2026-02-22 17:34:26,AUH,Completed
CR0000008,FL0001612,AC00071,CREW1403,Cabin Manager,2026-04-07 02:47:20,2026-04-07 12:07:20,NRT,Completed
CR0000009,FL0000209,AC00039,CREW1242,Captain,2026-05-25 00:42:15,2026-05-25 12:16:15,MEL,Assigned
CR0000010,FL0000035,AC00020,CREW1297,Maintenance Observer,2026-03-10 06:18:14,2026-03-10 16:14:14,YYZ,Completed
CR0000011,FL0000430,AC00071,CREW1345,Cabin Manager,2026-03-20 13:07:10,2026-03-20 15:57:10,JAI,Completed
CR0000012,FL0001006,AC00018,CREW1326,Maintenance Observer,2026-02-28 19:44:51,2026-03-01 02:29:51,AMD,Assigned
CR0000013,FL0000004,AC00040,CREW1575,Cabin Manager,2026-05-15 03:17:29,2026-05-15 08:25:29,ZRH,Completed
CR0000014,FL0001528,AC00011,CREW1586,Maintenance Observer,2026-05-21 15:24:57,2026-05-21 17:30:57,HKG,Assigned
CR0000015,FL0001014,AC00069,CREW1531,Maintenance Observer,2026-02-19 06:31:06,2026-02-19 16:50:06,SIN,Completed
CR0000016,FL0000504,AC00064,CREW1153,Cabin Crew,2026-05-19 15:22:56,2026-05-19 19:49:56,ZRH,Completed
CR0000017,FL0000970,AC00062,CREW1673,Cabin Crew,2026-05-01 19:04:11,2026-05-01 22:19:11,LHR,Completed
CR0000018,FL0001483,AC00030,CREW1033,Cabin Crew,2026-05-07 06:16:13,2026-05-07 08:49:13,MAA,Completed
CR0000019,FL0001094,AC00005,CREW1095,Cabin Crew,2026-02-06 14:40:41,2026-02-06 19:48:41,DOH,Completed
CR0000020,FL0000578,AC00015,CREW1377,Cabin Manager,2026-06-14 13:28:13,2026-06-15 01:39:13,GOI,Completed
CR0000021,FL0001894,AC00010,CREW1453,First Officer,2026-05-15 05:44:43,2026-05-15 14:01:43,SYD,Completed
CR0000022,FL0001390,AC00027,CREW1794,Cabin Manager,2026-04-03 12:11:11,2026-04-04 00:59:11,SYD,Completed
CR0000023,FL0001953,AC00054,CREW1773,Cabin Crew,2026-04-15 18:52:47,2026-04-15 23:09:47,JFK,Completed
CR0000024,FL0001599,AC00043,CREW1664,Captain,2026-06-05 16:29:56,2026-06-05 18:09:56,HYD,Assigned
CR0000025,FL0001031,AC00045,CREW1667,Maintenance Observer,2026-02-05 03:54:33,2026-02-05 06:37:33,JFK,Standby
