weather_id,airport_code,weather_date,temperature_celsius,wind_speed_kmph,visibility_km,storm_flag,precipitation_mm
W00000001,BLR,2026-01-01,32.6,34.2,7.2,false,4.6
W00000002,BLR,2026-01-02,38.5,35.1,12.1,false,1.6
W00000003,BLR,2026-01-03,26.1,19.3,12.8,false,5.0
W00000004,BLR,2026-01-04,30.8,4.0,7.3,true,32.0
W00000005,BLR,2026-01-05,29.2,37.8,9.5,false,2.8
W00000006,BLR,2026-01-06,20.1,34.5,12.3,false,4.2
W00000007,BLR,2026-01-07,28.6,8.8,17.1,false,5.6
W00000008,BLR,2026-01-08,23.5,54.6,11.1,false,1.8
W00000009,BLR,2026-01-09,35.2,16.6,10.3,false,1.4
W00000010,BLR,2026-01-10,28.1,25.8,16.7,false,5.2
W00000011,BLR,2026-01-11,32.2,30.8,14.3,false,3.3
W00000012,BLR,2026-01-12,18.7,42.0,16.3,false,3.8
W00000013,BLR,2026-01-13,28.6,21.4,4.0,true,44.9
W00000014,BLR,2026-01-14,35.3,19.5,9.4,false,1.0
W00000015,BLR,2026-01-15,29.8,52.7,10.7,false,6.3
W00000016,BLR,2026-01-16,29.2,8.7,14.6,false,5.2
W00000017,BLR,2026-01-17,15.1,46.4,17.7,false,3.6
W00000018,BLR,2026-01-18,38.9,29.8,15.2,false,6.2
W00000019,BLR,2026-01-19,30.1,54.6,15.7,false,0.5
W00000020,BLR,2026-01-20,10.7,46.5,9.6,false,1.9
W00000021,BLR,2026-01-21,20.1,8.3,15.7,false,4.1
W00000022,BLR,2026-01-22,33.0,29.3,6.3,true,23.5
W00000023,BLR,2026-01-23,26.7,54.3,10.7,false,0.3
W00000024,BLR,2026-01-24,23.6,34.3,7.6,true,66.8
W00000025,BLR,2026-01-25,16.5,25.4,19.2,false,5.7
W00000026,BLR,2026-01-26,22.5,20.1,2.7,true,61.1
W00000027,BLR,2026-01-27,34.5,46.6,10.4,false,4.3
W00000028,BLR,2026-01-28,25.2,14.2,13.5,false,6.7
W00000029,BLR,2026-01-29,23.3,26.9,9.5,false,5.0
W00000030,BLR,2026-01-30,27.0,50.0,12.6,false,4.9
W00000031,BLR,2026-01-31,28.7,4.5,1.2,true,56.2
W00000032,BLR,2026-02-01,24.0,35.3,6.4,false,0.3
W00000033,BLR,2026-02-02,19.6,27.6,8.7,false,6.4
W00000034,BLR,2026-02-03,24.2,50.7,13.7,false,0.7
W00000035,BLR,2026-02-04,28.2,16.4,7.5,true,59.7
W00000036,BLR,2026-02-05,24.3,43.8,7.7,false,0.3
W00000037,BLR,2026-02-06,27.6,11.4,7.8,false,3.4
W00000038,BLR,2026-02-07,32.2,50.2,15.7,false,2.9
W00000039,BLR,2026-02-08,26.0,39.7,6.1,false,4.7
W00000040,BLR,2026-02-09,28.8,45.2,8.5,true,19.1
W00000041,BLR,2026-02-10,31.0,31.2,9.6,false,3.9
W00000042,BLR,2026-02-11,28.1,4.3,18.0,false,0.2
W00000043,BLR,2026-02-12,34.2,54.5,9.5,false,5.8
W00000044,BLR,2026-02-13,22.0,3.0,13.8,false,1.5
W00000045,BLR,2026-02-14,27.6,42.2,19.9,false,4.2
W00000046,BLR,2026-02-15,26.2,8.9,18.2,false,3.9
W00000047,BLR,2026-02-16,20.7,24.5,12.0,false,2.5
W00000048,BLR,2026-02-17,32.2,16.5,6.1,false,4.6
W00000049,BLR,2026-02-18,31.8,25.3,16.6,false,4.4
W00000050,BLR,2026-02-19,26.1,26.5,7.7,false,2.1
W00000051,BLR,2026-02-20,34.3,43.7,13.1,false,2.9
W00000052,BLR,2026-02-21,35.2,30.5,9.9,false,0.2
W00000053,BLR,2026-02-22,31.7,8.9,18.8,false,6.4
W00000054,BLR,2026-02-23,29.4,46.2,13.5,false,1.0
W00000055,BLR,2026-02-24,23.8,26.2,6.9,false,1.7
W00000056,BLR,2026-02-25,26.6,23.6,9.9,false,2.2
W00000057,BLR,2026-02-26,17.0,55.0,12.0,false,2.0
W00000058,BLR,2026-02-27,38.1,7.6,13.0,false,6.2
W00000059,BLR,2026-02-28,23.4,16.3,20.0,false,2.6
W00000060,BLR,2026-03-01,27.8,39.2,19.5,false,3.7
W00000061,BLR,2026-03-02,29.3,42.4,19.3,false,2.9
W00000062,BLR,2026-03-03,19.8,6.1,13.2,false,1.6
W00000063,BLR,2026-03-04,36.0,4.3,8.9,true,8.8
W00000064,BLR,2026-03-05,23.6,49.0,13.8,false,0.6
W00000065,BLR,2026-03-06,37.6,42.6,8.7,false,6.9
W00000066,BLR,2026-03-07,21.8,39.6,10.5,false,1.9
W00000067,BLR,2026-03-08,25.1,16.7,8.4,true,36.6
W00000068,BLR,2026-03-09,25.1,18.9,8.5,false,5.6
W00000069,BLR,2026-03-10,27.2,47.0,7.9,true,17.1
W00000070,BLR,2026-03-11,16.6,14.6,15.2,false,4.5
W00000071,BLR,2026-03-12,24.2,36.1,15.1,false,2.2
W00000072,BLR,2026-03-13,26.5,33.2,4.5,true,61.2
W00000073,BLR,2026-03-14,23.7,44.0,15.4,false,0.3
W00000074,BLR,2026-03-15,29.1,42.6,6.7,false,5.2
W00000075,BLR,2026-03-16,37.7,50.9,7.5,true,25.0
W00000076,BLR,2026-03-17,25.0,3.1,19.1,false,1.2
W00000077,BLR,2026-03-18,27.5,50.7,15.4,false,1.4
W00000078,BLR,2026-03-19,35.1,17.8,10.8,false,4.8
W00000079,BLR,2026-03-20,27.2,20.9,19.9,false,4.9
W00000080,BLR,2026-03-21,20.2,37.4,12.9,false,6.7
W00000081,BLR,2026-03-22,37.6,17.8,6.9,false,0.3
W00000082,BLR,2026-03-23,17.2,21.2,11.8,false,2.2
W00000083,BLR,2026-03-24,37.1,13.2,17.7,false,4.7
W00000084,BLR,2026-03-25,35.7,15.7,8.3,false,5.1
W00000085,BLR,2026-03-26,18.4,43.4,16.4,false,4.8
W00000086,BLR,2026-03-27,27.0,16.8,11.5,false,1.0
W00000087,BLR,2026-03-28,38.3,47.6,7.7,true,17.5
W00000088,BLR,2026-03-29,15.4,52.1,15.9,false,0.6
W00000089,BLR,2026-03-30,20.1,47.8,7.8,false,1.2
W00000090,BLR,2026-03-31,30.1,9.8,10.4,false,6.6
W00000091,BLR,2026-04-01,26.4,50.9,16.0,false,1.6
W00000092,BLR,2026-04-02,33.6,11.2,8.1,false,2.6
W00000093,BLR,2026-04-03,33.2,21.4,15.3,false,3.0
W00000094,BLR,2026-04-04,23.2,34.6,8.8,false,0.4
W00000095,BLR,2026-04-05,23.8,7.7,17.4,false,3.8
W00000096,BLR,2026-04-06,36.0,6.7,11.0,false,5.1
W00000097,BLR,2026-04-07,25.9,20.4,13.6,false,2.7
W00000098,BLR,2026-04-08,27.9,52.8,9.9,false,3.2
W00000099,BLR,2026-04-09,20.3,44.3,19.4,false,2.8
W00000100,BLR,2026-04-10,28.7,54.3,6.3,false,0.9
W00000101,BLR,2026-04-11,27.3,41.0,11.1,false,2.5
W00000102,BLR,2026-04-12,30.0,12.3,9.7,false,2.1
W00000103,BLR,2026-04-13,31.3,26.7,7.5,false,2.4
W00000104,BLR,2026-04-14,31.8,47.4,10.7,false,6.0
W00000105,BLR,2026-04-15,13.6,38.9,14.4,false,5.8
W00000106,BLR,2026-04-16,18.3,23.8,2.5,true,35.9
W00000107,BLR,2026-04-17,29.4,44.3,13.2,false,5.5
W00000108,BLR,2026-04-18,20.8,9.1,13.1,false,6.3
W00000109,BLR,2026-04-19,24.4,17.4,19.6,false,5.1
W00000110,BLR,2026-04-20,13.0,12.4,19.1,false,0.1
W00000111,BLR,2026-04-21,28.8,31.4,9.0,false,4.7
W00000112,BLR,2026-04-22,26.0,31.9,6.1,true,34.9
W00000113,BLR,2026-04-23,24.1,17.9,6.8,false,0.5
W00000114,BLR,2026-04-24,39.0,3.3,6.5,true,45.8
W00000115,BLR,2026-04-25,42.7,41.7,6.8,false,5.8
W00000116,BLR,2026-04-26,24.3,40.4,12.8,false,0.5
W00000117,BLR,2026-04-27,26.7,45.2,13.2,false,1.7
W00000118,BLR,2026-04-28,25.0,32.5,10.7,false,5.5
W00000119,BLR,2026-04-29,20.5,9.7,7.0,false,2.7
W00000120,BLR,2026-04-30,26.4,35.3,14.6,false,3.0
W00000121,BLR,2026-05-01,29.1,9.7,13.0,false,2.9
W00000122,BLR,2026-05-02,30.8,24.6,4.4,true,33.4
W00000123,BLR,2026-05-03,20.4,12.7,10.2,false,6.6
W00000124,BLR,2026-05-04,28.2,28.1,18.9,false,4.4
W00000125,BLR,2026-05-05,26.1,35.1,11.3,false,3.8
W00000126,BLR,2026-05-06,28.9,10.4,12.9,false,3.4
W00000127,BLR,2026-05-07,22.7,8.5,15.6,false,3.0
W00000128,BLR,2026-05-08,38.3,37.7,2.7,true,35.6
W00000129,BLR,2026-05-09,38.1,46.8,9.4,false,1.2
W00000130,BLR,2026-05-10,25.7,40.6,18.0,false,4.3
W00000131,BLR,2026-05-11,22.8,31.1,16.1,false,5.0
W00000132,BLR,2026-05-12,31.8,11.2,8.4,false,3.9
W00000133,BLR,2026-05-13,37.1,4.4,12.2,false,2.7
W00000134,BLR,2026-05-14,29.2,27.7,9.3,true,35.3
W00000135,BLR,2026-05-15,26.8,51.8,11.8,false,2.2
W00000136,BLR,2026-05-16,24.1,12.2,11.4,false,4.8
W00000137,BLR,2026-05-17,38.6,16.4,7.2,false,5.3
W00000138,BLR,2026-05-18,27.7,38.7,13.1,false,6.5
W00000139,BLR,2026-05-19,26.3,14.2,15.2,false,1.0
W00000140,BLR,2026-05-20,31.0,19.4,18.0,false,4.8
W00000141,BLR,2026-05-21,14.0,44.8,16.8,false,6.4
W00000142,BLR,2026-05-22,21.7,49.6,14.6,false,1.9
W00000143,BLR,2026-05-23,25.1,53.7,2.2,true,43.3
W00000144,BLR,2026-05-24,32.6,37.3,6.7,false,1.7
W00000145,BLR,2026-05-25,24.0,17.6,8.6,false,1.2
W00000146,BLR,2026-05-26,18.9,5.5,6.5,true,70.4
W00000147,BLR,2026-05-27,33.2,23.5,7.1,false,1.2
W00000148,BLR,2026-05-28,23.8,39.3,14.7,false,0.1
W00000149,BLR,2026-05-29,31.0,51.6,6.5,false,0.6
W00000150,BLR,2026-05-30,33.1,35.1,17.5,false,2.0
W00000151,BLR,2026-05-31,13.6,8.2,9.7,false,3.4
W00000152,BLR,2026-06-01,28.0,18.4,15.9,false,0.1
W00000153,BLR,2026-06-02,21.6,14.0,10.6,false,3.5
W00000154,BLR,2026-06-03,24.9,49.9,9.0,false,1.1
W00000155,BLR,2026-06-04,40.3,54.5,17.7,false,1.0
W00000156,BLR,2026-06-05,25.6,4.3,1.6,true,15.5
W00000157,BLR,2026-06-06,16.1,27.6,15.7,false,4.6
W00000158,BLR,2026-06-07,22.5,29.2,17.6,false,3.3
W00000159,BLR,2026-06-08,37.8,5.3,14.5,false,0.7
W00000160,BLR,2026-06-09,32.6,21.2,19.4,false,4.2
W00000161,BLR,2026-06-10,29.8,50.7,15.0,false,1.0
W00000162,BLR,2026-06-11,34.8,48.5,13.4,false,4.5
W00000163,BLR,2026-06-12,31.5,4.3,13.6,false,6.4
W00000164,BLR,2026-06-13,13.1,7.0,14.8,false,4.8
W00000165,BLR,2026-06-14,18.4,49.3,6.7,false,5.7
W00000166,BLR,2026-06-15,26.2,47.5,13.2,false,3.7
W00000167,BLR,2026-06-16,20.4,32.5,10.0,false,1.4
W00000168,BLR,2026-06-17,43.9,27.9,15.9,false,5.1
