flight_id,flight_date,tail_number,route_id,origin,dest,sched_dep_utc,actual_dep_utc,sched_arr_utc,actual_arr_utc,dep_delay_min,arr_delay_min,delay_code,cancelled,diverted,passengers,cargo_kg,block_min,air_min
MR4306,2025-05-30,VT-WK37,1023,BOM,MAA,2025-05-30T02:15:00Z,2025-05-30T04:35:00Z,2025-05-30T04:16:00Z,2025-05-30T06:48:00Z,140,144,36,0,0,122,1994.9,133,111
MR4307,2025-05-30,VT-WK37,1017,MAA,BLR,2025-05-30T07:34:00Z,2025-05-30T07:44:00Z,2025-05-30T08:39:00Z,2025-05-30T08:45:00Z,10,2,,0,0,131,2357.7,61,47
MR4308,2025-05-30,VT-WK37,1024,BLR,COK,2025-05-30T09:44:00Z,2025-05-30T09:44:00Z,2025-05-30T10:56:00Z,2025-05-30T11:08:00Z,0,7,,0,0,169,980.3,84,59
MR4309,2025-05-30,VT-WK37,1068,COK,PNQ,2025-05-30T11:46:00Z,2025-05-30T11:57:00Z,2025-05-30T13:41:00Z,2025-05-30T14:02:00Z,11,4,,0,0,108,1344.9,125,103
MR4310,2025-05-30,VT-EI46,1117,BLR,GOI,2025-05-30T01:00:00Z,2025-05-30T01:08:00Z,2025-05-30T02:21:00Z,2025-05-30T02:27:00Z,8,20,,0,0,152,351.7,79,63
MR4311,2025-05-30,VT-EI46,1043,GOI,LKO,2025-05-30T03:36:00Z,2025-05-30T05:08:00Z,2025-05-30T06:08:00Z,2025-05-30T07:41:00Z,92,100,51,0,0,130,2123.5,153,142
MR4312,2025-05-30,VT-EI46,1001,LKO,BOM,2025-05-30T08:38:00Z,2025-05-30T08:50:00Z,2025-05-30T10:52:00Z,2025-05-30T11:11:00Z,12,11,,0,0,146,799.7,141,123
MR4313,2025-05-30,VT-EI46,1023,BOM,MAA,2025-05-30T12:19:00Z,2025-05-30T12:25:00Z,2025-05-30T14:20:00Z,2025-05-30T14:37:00Z,6,-2,,0,0,131,338.8,132,109
MR4314,2025-05-30,VT-EI46,1047,MAA,PNQ,2025-05-30T15:41:00Z,2025-05-30T15:41:00Z,2025-05-30T17:33:00Z,2025-05-30T17:33:00Z,0,10,,0,0,151,1068.7,112,96
MR4315,2025-05-30,VT-RW64,1103,MAA,BOM,2025-05-30T02:15:00Z,2025-05-30T04:04:00Z,2025-05-30T04:16:00Z,2025-05-30T06:24:00Z,109,109,41,0,0,52,1294.2,140,113
MR4316,2025-05-30,VT-RW64,1092,BOM,HYD,2025-05-30T07:25:00Z,2025-05-30T07:25:00Z,2025-05-30T08:57:00Z,2025-05-30T08:58:00Z,0,8,,0,0,66,1367.5,93,75
MR4317,2025-05-30,VT-RW64,1082,HYD,JAI,2025-05-30T09:58:00Z,2025-05-30T09:58:00Z,2025-05-30T12:03:00Z,2025-05-30T12:15:00Z,0,-2,,0,0,48,1229.4,137,117
MR4318,2025-05-30,VT-DJ65,1057,GOI,COK,2025-05-30T02:45:00Z,2025-05-30T02:45:00Z,2025-05-30T04:17:00Z,2025-05-30T04:11:00Z,0,9,,0,0,86,1016.0,86,74
MR4319,2025-05-30,VT-DJ65,1019,COK,CCU,2025-05-30T04:56:00Z,2025-05-30T07:31:00Z,2025-05-30T08:00:00Z,2025-05-30T10:41:00Z,155,150,51,0,0,84,1819.1,190,176
MR4320,2025-05-30,VT-DJ65,1012,CCU,JAI,2025-05-30T11:48:00Z,2025-05-30T12:02:00Z,2025-05-30T14:20:00Z,2025-05-30T14:48:00Z,14,23,,0,0,74,2249.8,166,138
MR4321,2025-05-30,VT-DJ65,1030,JAI,CCU,2025-05-30T15:27:00Z,2025-05-30T18:19:00Z,2025-05-30T17:59:00Z,2025-05-30T20:55:00Z,172,167,89,0,0,80,1590.8,156,139
MR4322,2025-05-30,VT-CF18,1107,AMD,MAA,2025-05-30T03:15:00Z,2025-05-30T05:17:00Z,2025-05-30T05:41:00Z,2025-05-30T07:51:00Z,122,134,36,0,0,165,395.9,154,129
MR4323,2025-05-30,VT-CF18,1017,MAA,BLR,2025-05-30T08:53:00Z,2025-05-30T08:53:00Z,2025-05-30T09:58:00Z,2025-05-30T09:58:00Z,0,4,,0,0,152,1936.8,65,53
MR4324,2025-05-30,VT-CF18,1025,BLR,PNQ,2025-05-30T10:46:00Z,2025-05-30T10:46:00Z,2025-05-30T12:24:00Z,2025-05-30T12:19:00Z,0,-2,,0,0,120,1899.5,93,81
MR4325,2025-05-30,VT-CF18,1080,PNQ,LKO,2025-05-30T13:29:00Z,2025-05-30T13:30:00Z,2025-05-30T15:40:00Z,2025-05-30T15:40:00Z,1,13,,0,0,143,2382.3,130,116
MR4326,2025-05-30,VT-OQ42,1096,MAA,CCU,2025-05-30T01:00:00Z,2025-05-30T01:00:00Z,2025-05-30T03:27:00Z,2025-05-30T03:33:00Z,0,4,,0,0,151,1821.8,153,134
MR4327,2025-05-30,VT-OQ42,1036,CCU,COK,2025-05-30T04:36:00Z,2025-05-30T06:18:00Z,2025-05-30T07:40:00Z,2025-05-30T09:32:00Z,102,98,11,0,0,181,430.3,194,169
MR4328,2025-05-30,VT-OQ42,1109,COK,GOI,2025-05-30T10:34:00Z,2025-05-30T10:38:00Z,2025-05-30T12:06:00Z,2025-05-30T12:23:00Z,4,14,,0,0,165,1211.7,105,81
MR4329,2025-05-30,VT-OQ42,1072,GOI,HYD,2025-05-30T13:06:00Z,2025-05-30T14:44:00Z,2025-05-30T14:31:00Z,2025-05-30T16:23:00Z,98,103,36,0,0,164,1877.5,99,72
